21197,FALSE,"Vieillot, 1816",Animalia,Vertebrata,Aves,Passeriformes,Cardinalidae,?Passerina sp.,,,,,,,,,,,,,,
7074,FALSE,"Baird, 1855",Animalia,Vertebrata,Mammalia,?Perognathus flavus,,,,,,,,,,,,,,,,
7075,FALSE,"Wied-Neuwied, 1839",Animalia,Vertebrata,Mammalia,?Perognathus sp.,,,,,,,,,,,,,,,,
7076,FALSE,"(Baird, 1855)",Animalia,Vertebrata,Mammalia,?Peromyscus boylii,,,,,,,,,,,,,,,,
7077,FALSE,"(Rafinesque, 1818)",Animalia,Vertebrata,Mammalia,?Peromyscus leucopus,,,,,,,,,,,,,,,,
7078,FALSE,"Gloger, 1841",Animalia,Vertebrata,Mammalia,Rodentia,?Peromyscus sp.,,,,,,,,,,,,,,,
7079,FALSE,"(Shufeldt, 1885)",Animalia,Vertebrata,Mammalia,Rodentia,?Peromyscus truei,,,,,,,,,,,,,,,
19739,FALSE,"(Linnaeus, 1766)",Animalia,Vertebrata,Aves,Passeriformes,Cardinalidae,?Pheucticus ludovicianus,,,,,,,,,,,,,,
13405,TRUE,"LeConte, 1848",Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Platygonus sp.,,,,,,,,,,,,,,
13404,TRUE,"Leidy, 1882",Animalia,Vertebrata,Mammalia,Artiodactyla,Tayassuidae,?Platygonus vetus,,,,,,,,,,,,,,
13437,TRUE,"Cope, 1875",Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Pliauchenia sp.,,,,,,,,,,,,,,
13450,TRUE,"Martin, 1972",Animalia,Vertebrata,Mammalia,Rodentia,Cricetidae,?Pliophenacomys osborni,,,,,,,,,,,,,,
26926,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Eudicotyledoneae incertae sedis,?Populus,,,,,,,,,,,,
14174,TRUE,"Leidy, 1858",Animalia,Vertebrata,Mammalia,Artiodactyla,Camelidae,?Procamelus sp.,,,,,,,,,,,,,,
7080,FALSE,"(Linnaeus, 1758)",Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Procyon lotor,,,,,,,,,,,,,,
13569,TRUE,"(Gidley, 1922)",Animalia,Vertebrata,Mammalia,Rodentia,?Prodipodomys minor,,,,,,,,,,,,,,,
13566,TRUE,"Hibbard, 1939",Animalia,Vertebrata,Mammalia,Rodentia,?Prodipodomys sp.,,,,,,,,,,,,,,,
10095,TRUE,"(Gazin, 1933)",Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Puma lacustris,,,,,,,,,,,,,,
14099,FALSE,"C.H. Smith, 1827",Animalia,Vertebrata,Mammalia,Artiodactyla,Cervidae,?Rangifer sp.,,,,,,,,,,,,,,
14098,FALSE,"(Linnaeus, 1758)",Animalia,Vertebrata,Mammalia,Artiodactyla,Cervidae,?Rangifer tarandus,,,,,,,,,,,,,,
